reaction_id,compound_retention_time,compound_max_intensity,caffeine_retention_time,caffeine_max_intensity
R0075876,1.2392,950044,0.7754,138284
R0075838,1.4629,1991067,0.7733,137011
R0075854,1.4671,1631158,0.7783,127598
R0075900,0.6825,1169688,0.7758,140283
R0075843,1.17,596142,0.7762,132444
R0075885,0.7362,295946,0.7808,148461
R0075857,1.4875,419159,0.7783,132565
R0075775,1.2679,433489,0.7721,134044
R0075797,0.9892,422157,0.7788,131632
R0075919,0.6642,1421910,0.7792,134383
R0075870,1.6042,741830,0.7729,138688
R0075881,1.5712,967205,0.7754,129938
